Description,Violation Type,Vehicle Year,Time of Stop,Accident
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2005,12:28:00,No
DRIVING WRONG WAY--ONE WAY STREET,Warning,2005,12:28:00,No
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,Warning,2010,20:59:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2010,20:59:00,No
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Warning,2017,13:14:00,Yes
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning,2015,9:16:00,No
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,Warning,1999,16:42:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2006,22:51:00,Yes
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning,2017,18:42:00,No
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,Warning,2008,22:31:00,No
FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.,Warning,2008,22:31:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2018,21:37:00,No
FAILURE TO PROPERLY EQUIP & LOCATE HEADLAMPS ON MOTOR VEH.,Warning,2013,22:03:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning,2013,22:03:00,No
DRIVING VEH. WITH IMPROPERLY MOUNTED & SPACED TAIL LAMPS,Warning,2011,22:23:00,No
FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,Warning,2014,16:27:00,No
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Warning,2017,10:11:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning,2014,16:27:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2005,14:02:00,No
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,Warning,2005,14:02:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning,2005,14:02:00,No
DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,Warning,2015,21:06:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2018,16:37:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning,2007,22:47:00,No
DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE,Warning,2011,8:31:00,No
DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN,Warning,2007,10:56:00,No
POSSESSING MORE THAN ONE DRIVER'S LICENSE AT ANY ONE TIME,Warning,2007,10:56:00,No
DRIVING VEH. WHILE IMPAIRED BY ALCOHOL,Citation,2012,21:17:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning,1998,13:11:00,No
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Warning,1998,13:11:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2002,7:34:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning,2016,16:18:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning,2015,16:21:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning,2007,16:28:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning,2017,16:34:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,Warning,2001,16:37:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2017,14:21:00,No
DRIVER TURNING VEHICLE WITHOUT GIVING APPROPRIATE SIGNAL AS REQUIRED,Warning,2016,22:43:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH,Warning,2019,17:10:00,No
PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,Warning,2017,12:33:00,No
DRIVER READING AN ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY,Warning,2012,12:42:00,No
DRIVING VEH. ON HWY. WITH SUSPENDED REGISTRATION,Warning,2014,15:19:00,No
DRIVING VEH. ON HWY. WITH SUSPENDED REG.,Warning,2014,15:19:00,No
OWNER FAILURE TO RETURN TO ADM SUSPENDED REG. CARD,Warning,2014,15:19:00,No
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning,2014,15:19:00,No
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,Warning,2014,15:19:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning,2016,22:29:00,No
WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT,Warning,2016,22:29:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2016,22:29:00,No
"FAILURE OF DR. TO MAKE LANE CH. TO AVAIL. LANE NOT IMMED. ADJ TO STOPPED, STANDING, PARKED VEH.",Warning,2016,22:38:00,No
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,Warning,2003,17:07:00,No
DRIVER FAILURE TO STOP AT STOP SIGN LINE,Warning,1998,22:01:00,No
DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION,Warning,2009,22:14:00,No
EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH,Warning,2009,23:20:00,No
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,Warning,2005,2:04:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning,2005,2:04:00,No
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning,2005,22:08:00,No
FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,Warning,2005,22:08:00,No
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,Warning,2015,22:29:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning,2015,22:29:00,No
FAILURE GIVE REQUIRED SIGNAL FOR VEH. LEFT TURN,Warning,2015,22:29:00,No
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,Warning,2015,22:29:00,No
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,Warning,2008,9:14:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning,2008,9:14:00,No
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,Warning,2019,15:17:00,No
"NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",Warning,2019,15:17:00,No
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,Warning,2002,23:16:00,No
ALLOWING VEHICLE TO BE DRIVEN ON HWY. WITH UNPAID REGISTRATION FEE,Warning,2002,23:16:00,No
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,Warning,2004,17:18:00,No
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,Warning,2001,21:30:00,No
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,Warning,2001,21:30:00,No
"DRIVER WRITING,SENDING,READING A TEXT,ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY",Warning,2017,9:54:00,No
